headlines,word_count
ronaldo awapa matatizo man united,5
wanafunzi shule msingi wapatiwa vifaa,5
waamuzi sita simba yanga hadharani,5
utajiri mawasiliano waja,3
muuguzi mbaroni madai kusababisha kifo kumtoa mimba mwanafunzi,8
nccr waja masharti mapya ‘ukawa’,5
rc lindi azuia misitu kuvunwa hovyo,6
japan kusaidia ujenzi soko kisasa samaki,6
viongozi dodoma wabanwa vifaa dampo,5
waziri mkuu kukutana wanahisa crdb,5
mwingereza ahusishwa simba,3
ukikutwa mifuko plastiki jela,4
jitihada rais zaongeza ari kulipa kodi mkoani tanga,8
mifuko plastiki inayotakiwa isiyotakiwa,4
manji amkataa wakili kibatala kortini,5
milioni kuandikishwa uchaguzi mitaa,4
kampuni misri zawekeza tril,4
simba mtibwa zawania fainali mapinduzi,5
madiwani dodoma wamng’oa meya,4
kongamano uwekezaji pwani lasogezwa,4
wadau elimu wataka mazingira wezeshi shuleni,6
deni lilikwamisha video timbulo,4
nicki minaj atangaza kuachana muziki,5
van persie aachwa timu taifa,5
moi yatoa mafunzo kujikinga corona,5
ukijipima hiv mwenyewe rudi hospitaliummy,5
tausi likokola azindua kipindi chake televisheni,6
katibu uvccm auawa kunyongwa mwili watupwa barabarani,7
wanafunzi wapata ujauzito kilimanjaro,4
rehema simfukwe mbioni kukamilisha albamu,5
chadema wajibu mapigo lowassa,4
duru vpl mmejipangaje,3
obama amlilia mccain,3
wawekezaji elimu watakiwa kuchangamkia fursa lindi,6
king class aanika siri ubingwa dunia,6
irene paul amtaka amini kumuoa linah,6
droo kufuzu kombe dunia yatolewa taifa lako litaminyana nani,9
mwigulu watanzania tujiwekee akiba,4
watumishi wapewa kununua mashine ‘ultrasound’ iliyoibwa,6
mapato mbio mbuzi kusaidia matibabu ccbrt,6
twiga waahidiwa viwanja wakitinga olimpiki,5
mwakyembe ahamasisha kujifunza ukalimani,4
jamii ichukue tahadhari dhidi corona,5
maganga kuzichapa hungary kesho,4
segerea seminari ilivyoteketea moto,4
jkci yalia upotoshwaji ‘mtoto betri’,5
uvccm kuwapiga msasa vijana ihemi,5
simba yamkuna aussems,3
kamati bunge yaridhia mashine maxmalipo,5
huduma wazee morogoro bado yasuasua,5
wolper cherehani inalipa filamu,4
mtaalamu lishe aeleza mila zinavyochochea udumavu,6
mitandao kijamii kudhibitiwa marekani,4
wazee rorya walalamika kuchapwa vibiko,5
yatoa uhalali kampuni burundi,4
wafariki ajalini wakiwahi nyama choma pasaka,6
makundi yanayopigania demokrasia yashinda uchaguzi hong kong,7
lissu yamuibua ridhiwani kikwete,4
jpm atoboa siri kilichojiri uteuzi bashiru,6
simanzi yatawala mitaa jiji mwanza,5
mashabiki wamaliza ubishi ney diamond,5
waliofariki dunia kuungua wafikia,4
daktari aandika kitabu akianisha sababu nne kansa,7
wakali yanga mguu mguu nje,5
hasira zetu prisons yanga,4
mtendaji kata mbaroni kupokea rushwa,5
kardinali pell ashindwa rufaa tuhuma ngono watoto,7
wabunge kutumia kujadili bajeti,4
p diddy amuomba msamaha kocha mtoto,6
uingereza nao kuisoma namba,4
wanawake kupimwa bure saratani kizazi matiti,6
membe kinana makamba kikaangoni,4
maziko yafichua siri mauaji mume,5
wagonjwa saratani waongezeka,3
flora mbasha kuolewa jumapili ijayo,5
kwaheri upumzike amani shaaban dede,5
lissu awasha moto,3
cecafa mambo yazidi kuiva,4
total kujenga bomba mafuta uganda tanga,6
dawa kuiokoa tanesco bei azim dewji,6
kampuni zajitokeza maonesho dhahabu,4
kombe dunia kupingwa disemba,4
trump kulitangaza ‘udugu kiislamu’ kundi kigaidi,6
sakata mashine ultrasound lachukua sura mpya ras atengua uamuzi dc,10
waamuzi klabu wakutana zanzibar,4
mfumuko bei taifa wabaki asilimia,5
yafanya vyema huduma mafunzo afya,5
﻿ronaldo ndiyo sababu juve kunisajili,5
pluijm tuliandaa mipango ushindi,4
viongozi wahimiza amani idd el hajj,6
majaji wamlilia jaji rugazia,4
watanzania ruksa sudan kusini viza,5
michuano tmk ng’ombe cup jan,5
united walichelewa kumsajili bruno fernandes,5
ajali zaua zajeruhi moro,4
norway yatoa mil kukuza sanaa muziki,6
wafanyakazi kukopeshwa nyenzo kilimo,4
mugabe makamu wangu alikwenda waganga kuuliza nitakufa lini,8
walimu dodoma walia ndoa zao hatarini kuvunjika,7
mwanasheria mkuu kufuatilia ndege iliyozuiwa,5
mourinho etoo alihitaji kushinda ballon dor,6
kenya pili mabasi ‘mwendokasi’ afrika mashariki,6
kikwete wenye shahada jiandaeni kisaikolojia,5
maswali magumu sakata messi simba,5
kagera yaipania yanga kirumba,4
uwekezaji matajiri utaibeba serengeti boys,5
hatimaye mdee arudi uraiani,4
kumekucha tigo fiesta dar,4
wahandisi dawasa watakiwa kubuni njia uvunaji maji mvua,8
rufaa blatter platini zakataliwa,4
kigwangalla aruhusiwa muhimbili,3
polisi wapongezwa ukusanyaji maduhuli,4
‘watoto kike wanaopelekwa kliniki wakaguliwe’,5
michuano kagame kuifunza yanga,4
mitaa kushiriki uchaguzi serikali mitaa,5
callum hudsonodoi muokota mipira chelsea staa,6
magufuli msifiche fedha nje nchi,5
takukuru kufuatilia ubadhirifu miradi,4
lulu akana kusababisha kifo kanumba,5
askofu gwajima afutiwa kesi kumtukana kardinali pengo,7
watumishi jela vyeti feki,4
viwango vikubwa riba huua biashara ndogo ndogo,7
jaden smith amtambulisha mpenzi,4
hatima wabunge nane cuf agosti,5
azam kuelekeza hasira mbeya city,5
‘waondoeni wananchi hifadhi’,3
kiingilio maonesho sabasaba,3
kidato nne ruksa kubadili ‘kombinesheni’,5
masauni ajitosa sakata maandamano,4
mwandishi agnes kabigi afariki ghafla,5
drake kuhamia filamu,3
ngoma tambwe wainogesha yanga,4
sumaye kuongoza kanda pwani,4
wagonjwa kupasuliwa ngiri maji dar,5
mameneja tanesco hatarini kutumbuliwa,4
pluijm atuma salamu azam,4
ccm yawasamehe ‘wasaliti’ wanne,4
mitaala mipya kufanyiwa majaribio,4
jpm maaskofu hubirini viwanda,4
startimes kuelimishakuburudisha watoto wakiwa nyumbani kuepuka corona,7
linex mjeda ahofia baba kambo,5
ruto kulipa fidia mabilioni ‘kupora’ kiwanja,6
wizara yawajibu wanaodai biashara zinakufa,5
wananchi wazidi kulilia bunge ‘live’,5
ccm yakemea wanaofanya kampeni,4
mambo yaiva pambano cheka,4
wakulima korosho kutowanywesha mbuzi soda,5
majaliwa asikitishwa ongezeko migogoro ardhi,5
taliban laonya kuhusu mkataba marekani,5
wadau wajipanga kukomesha uchafuzi kingo bahari,6
bieber hailey wapambana ibada,4
mtoto aliyetupwa chooni apata nafuu,5
chelsea yafufukia darajani yaichapa wba,5
uganda yaibeba a mashariki,4
tra wafanyabiashara lipeni kodi,4
ligi kuu moto,3
ambulance kuipa prisons pointi ligi kuu vpl,7
omog awafungia kazi washambuliaji simba,5
afreximbank kusimamia mradi madini sierra leone,6
medali zazidi kumiminika olimpiki maalumu,5
wanawake watakiwa kunyonyesha watoto miaka,5
yanga yaanza kuchanga karata,4
bongo star search yarudi kishindo,5
kampuni yatakiwa kukamilisha barabara,4
makahaba nigeria watishia kugoma,4
kenyatta chato kesho,3
msiba taifa,2
kiu ukuaji yawaleta betika,4
mkurugenzi tamwa atwaa tuzo uongozi,5
tido mhando akutwa kesi kujibu kisutu,6
wanawake wauawa arusha,3
zijue kanuni adhabu mwongozo ukikamatwa,5
sheria habari yapingwa mahakamani,4
wafanyabiashara wapatiwa elimu kodi ilala,5
wabunge ccm wacharuka mpango serikali,5
mashabiki villa samatta baba lao,5
upuuzi kuwaza ubingwa guardiola,4
tls yapendekeza viongozi miaka,4
wenye vvu kupewa arvs miezi,5
brela yapewa miezi kusajili kampuni mtandao,6
mizozo mapigano yatatiza ukuaji kilimo afrika,6
nagu sikukamatwa nilihojiwa polisi,4
nemc kelele husababisha upungufu nguvu kiume,6
costech yafadhili utafiti dawa asili nchini,6
rais zamani brazil jela,4
ghana senegal ivory coast zaondolewa chan,6
mamia waandamana wakisubiri hotuba duterte,5
bunge laazimia kutofanya kazi cag assad,6
man utd inaimarika asema ole gunnar solskjaer,7
wizara elimu yatekeleza ilani ccm asilimia,6
efm yakabidhi gari kajala awapoza walioshindwa,6
upelelezi kesi kigogo takukuru wafika pazuri,6
shirika posta lakusanya madeni bil,5
wabunge ccm wahojiwa takukuru,4
nabii eliya kukamatwa,3
hausigeli kenya waongezwa mshahara yajipanga,5
lowassa mbowe sumaye waanza ziara mikoani,6
who yashauri uvaaji barakoa sehemu mikusanyiko,6
fastjet yapewa notisi kufungasha virago,5
hapi aahidi kutangaza vivutio utalii,5
unaambiwa saivi sven matola mambo shwari huko msimbazi,8
rais magufuli akutana viongozi kimataifa ikulu,6
serikali itamlinda mtoto kike – majaliwa,6
afdb yatoa bilioni kujenga bwawa umeme kenya,7
wizara elimu yakanusha kutangaza viwango vipya ufaulu,7
vigogo actwazalendo waitwa polisi,4
kenya yang’ara mita olimpiki,4
mzee miaka aliyeombwa rushwa polisi kumuona magufuli,7
ally ally apigwa pini yanga,5
paris jackson natamani kuacha kuvuta sigara nashindwa,7
magufuli aagiza fedha dili zirejeshwe,5
mahakama yaja suluhisho magerezani,4
wabunge ccm waendelea kumsifu rais magufuli,6
mfumuko bei taifa wabaki asilimia,5
vurugu afrika kusini zambia yasitisha mechi bafana bafana,8
viziwi walalamikia mawasiliano usajili laini alama vidole,7
waziri mkuu majaliwa kassim afuta posho madiwani dar es salaam,10
mfanyabiashara kizimbani kukutwa cocaine,4
mkuu majeshi awapa neno maofisa wastaafu jeshi,7
wakulima wadogo kukopeshwa matrekta,4
kijana mrefu ahitaji mamilioni upasuaji,5
…tanzania yang’ara mabwawa umeme duniani,5
drake aanika chanzo bifu chris brown,6
magoli mawili lookman yaipeleka uingereza robo fainali miaka,8
yanga kamili kupindua matokeo gor mahia,6
museveni kagame waibua matumaini mapya,5
vigogo wizara mambo wapishana takukuru,5
jitihada rais zaongeza ari kulipa kodi mkoani tanga,8
tizeba ahaha kutekeleza agizo rais magufuli,6
hapatoshi mzee yussuf bella,4
prof muhongo kujikita elimu jimboni kwake,6
‘korosho mtatiro’ zakamata tunduru,4
wafariki kukanyagwa tembo lindi,4
masikini haji manara nafasi yatangaziwa ajira atoa tamko,8
chris brown afurahia ‘bifu’ cardi b nicki minaj,8
wadau wakutana kuhuisha sera wazee,5
jkci yafanya matibabu wagonjwa miezi mitatu,6
kombe fa laanza kioja,4
tpa kuendeleza bandari kiushoroba,4
jkci yapandikiza betri mtoto moyo upande kulia,7
magufuli ashtushwa vifo morogoro,4
navy kenzo wapata mtoto pili kiume,6
mancini awatisha wapinzani euro,4
mabilioni yamwagwa mikopo elimu,4
mkurugenzi jkci aeleza chanzo ugonjwa moyo,6
msuva nitaendelea kasi morocco,4
waliolipukiwa mabomu mbagala gongolamboto waitwa,5
diamond platnumz amchomesha lemutuz party,5
mwili mapalala kusafirishwa kijijini kwao,5
mazingira sahihi kufanyia mazoezi,4
mbunge ataka wakulima wafugaji kuondoa tofauti zao,7
kapombe leonel waiua azam kagame,5
asali yampa umilionea mkulima kijana chamwino,6
cag kukagua hesabu bmt,4
yanga kamili mauritius jumatano,4
kerr ang’aka kessy kutakiwa yanga,5
vifo virusi corona vyaongezeka china ikiongeza vizuizi kusafiri,8
kagere nusura nijiunge leopards,4
bashiru atuma salamu wakuu mikoa mwanza morogoro,7
yanga yasajili beki togo,4
marc wahaha kupata madarasa,4
simba yamng’oa straika tp mazembe,5
simba mambo yazidi kunoga,4
mo fire kuachia video mpya,5
barcelona kumkatia rufaa arda turan,5
maandamano makubwa yafanyika iraq kumuaga jenerali soleimani,7
mwongozo kutekeleza makubaliano paris wafikiwa,5
yazuiliwa burundi mechi kufuzu qatar,5
lowassa afichua siri kumalizwa kisiasa,5
prof mukandala vijana msisukumwe mawimbi,5
mshahara kutopanda,2
jambazi ladaiwa kuua polisi musoma,5
tra wafanyabiashara lipeni kodi,4
kaijage aikingia kifua twiga stars,5
tetesi soka ulaya jumatano,4
hammond apigiwa debe uwaziri mkuu uingereza,6
manukato sabuni huathiri afya uke,5
wakulima kutopewa kiwanda mpunga,4
kamati bunge kumhoji cag,4
yanga moto kuikabili biashara,4
mifuko uwekezaji uttamis yachanua,4
shirika ndege latoa tiketi ccbrt,5
idadi waliofariki shambulio virginia yafikia,5
kocha yanga mabeki wametuangusha sh’nyanga,5
﻿kiongozi upinzani algeria akamatwa,4
utt amis ilivyosaidia kuboresha maisha jamii,6
justin bieber hailey ndoa yakaribia,5
azam yakiri kupata upinzani zanzibar,5
dawa mbu haisababishi ugumba,4
kisaki waanza kufurahia mtandao kasi,5
goms yatinga fainali ndondo,4
nape mgeni rasmi tamasha pasaka,5
ccm yamsamehe kinana yabariki membe kufukuzwa,6
hofu yatanda wanaoishi albino,4
nbs yaonya utafiti kampuni geopoll,5
bei vyakula usafiri nazo zishuke watafiti,6
askari jwtz wenzake kizimbani mauaji kondakta daladala,7
jpm awataka wafanyakazi waendelee kupiga kazi wasitishwe corona,8
ccm korogwe yateua wagombea mitaa,5
﻿jpm kukabidhiwa uenyekiti sadc,4
bashe asisitiza mfumo stakabadhi ghalani,5
roma wenzake kusimulia kutekwa kwao leo,6
wabunifu umeme wapewa mil,4
jose mourinho ataka kuifundisha arsenal,5
mhagama ataka ujenzi vituo kupima ukimwi uharakishwe,7
tetesi soka ulaya jumatano,4
pellegrini hakati tamaa ubingwa england,5
mtifuano wanaotajwa kuondoka chadema,4
‘sekta makazi upimaji haihitaji wachuuzi’,5
leseni biashara zaingiza mabilioni,4
mhagama aipongeza kampuni uwekezaji,4
nane zajitokeza soka ufukweni,4
simulizi utawala moi kupoteza madaraka,5
joshua akubali kichapo tko,4
zanzibar ilivyofikia mapinduzi,3
tehama yapaisha utalii zanzibar,4
simba wanatamba yanga wanajiamini,4
gavana anayetuhumiwa kuua mwanafunzi kuendelea kusota rumande kenya,8
nemc yachunguza maji kemikali,4
matatizo kifamilia yamuondoa mkude stars,5
evra aonyeshwa kadi nyekundu mchezo,5
vifo saratani matiti kuongezeka asilimia mwaka,6
waziri aagiza mkandarasi kuwekwa,4
nauli dreamliner mumbai yatangazwa,4
pacha kagera watengenezewa miguu bandia,5
﻿trump kutangaza hali hatari marekani,5
jeshi polisi tanga laimarisha ulinzi,5
barcelona wapata pigo jordi alba,5
zahera atamba kuinyoa alliance kikosi kilichomenyana lipuli,7
tyga tupac baba,3
jonesia kuchezesha afcon wanawake ghana,5
foleni mbili kupata maji kiteto,5
uchaguzi serikali mitaa kutumia bilioni,5
odinga awataka wafuasi wasiende kazini leo,6
gridi taifa fursa vipato katavi,5
ukatili kijinsia wamtisha waziri ummy,5
‘vyombo majini visivyogaguliwa marufuku kufanya kazi’,6
udom kutoa msaada kisheria,4
wasanii kunufaika viwanja mkopo,4
daktari bingwa aeleza madhara kukoroma,5
kimewaka,1
wafanyabiashara wakubwa wabanwa madeni sugu,5
christopher alex atoa somo asema amejifunza,6
waua zao wivu,3
azam fc yasaka rekodi kagame,5
chadema yahofia kuhujumiwa takukuru,4
maandamano yaendelea algeria,3
uingereza yaruhusu matumizi dawa virusi remdesivir,6
lukuvi aingilia kiwanja wakatoliki,4
wabunge waiombea ruzuku hospitali bugando,5
maguli azitega simba yanga,4
kundi simba lazidi kunoga,4
miradi bil kutekelezwa dodoma kigoma,5
anayedaiwa kuua mwanafunzi kichapo hajatumwawaziri,5
yanga yawatuliza nyota,3
filamu nipe changu kuuzwa mtandaoni,5
kujiunga kidato tano wakosa nafasi,5
simba prisons ubabe leo,4
tume maadili yamtaja mbowe mfano kuigwa,6
shein ateua mkurugenzi maelezo zanzibar,5
diana atwaa taji miss,4
kim jongun akutana ujumbe korea kusini,6
serikali kumwaga ajira polisi magereza,5
eu yaachia mabilioni fedha iliyoyazuia,5
matukio utekaji yamtisha gwajima,4
mkurugenzi aomba majukwaa tsn yadumu,5
trump aiasa uingereza kuhusu eu,5
serena atinga nusu fainali australia open,6
jiji kukusanya sh bilioni,4
maendeleo uvumbuzi,2
wizara fedha kusimamia mauzo korosho ufuta,6
yanga kazi,2
pofessor jay ataka wakongwe warudi,5
gladness agawa vifaa kujikinga corona,5
u wanawake burundi j’pili,4
museveni amteua mwanawe mshauri mkuu uganda,6
rais magufuli hisia zako kuhusu maadili zimechomoa video kadhaa,9
wanawake vijana walemavu wakopeshwa mil,5
yapongezwa mabaraza kiswahili,3
bondia mtanzania apoteza pambano uingereza,5
wadau jitokezeni kuiunga mkono rt,5
lava lava awafunga mdomo wabaya,5
drc yaomba kujiunga eac,4
rc shigela aipongeza tra kuendesha kampeni elimu mlipakodi,8
afcon jicho tatu manufaa afcon,5
rc kagera awatia walimu mkandarasi kushindwa kusimamia mradi ujenzi,9
ubakaji washika kasi,3
tanesco kwawaka wakurugenzi watatu watumbuliwa aandika barua kuachia ngazi,9
airbus atcl kutua lusaka leo,5
masele aingia matatani ndugai,4
mtangazaji anayeshitakiwa mauaji asimulia kilichojiri,5
kocha afunguka kinachoisibu kmc hali mbaya ligi kuu kumbe shida wachezaji,11
lugola andengenye wakalia kuti kavu,5
azzan nimezungukwa maadui,3
jwtz ‘yatafuna mfupa’ uliowashinda tba,5
‘malaria ukimwi tishio uhai binadamu’,5
mbwa aumia akimbilia duka dawa,5
bandari dar kupakua mizigo tani milioni,6
saratani bega ilivyomuanza mariam kifo chake,6
wakulima watakiwa kutumia mbegu bora,5
mkwasa aomba uvumilivu yanga,4
serikali yasema haijafika hatua kusimamisha shughuli kidini,7
uturuki iran kujadili syria,4
tra wafanyabiashara lipeni kodi,4
dira taifa madini yaandaliwa,4
idadi makocha yawapa raha chama kuogelea,6
kilimanjaro stars warejea kapa,4
marando aibuka,2
mamba aua mwanafunzi ng’ombe wapigwa radi,6
waziri mkuu aagiza mradi umeme jnhpp kukamilika,7
kajala masanja wanachonga kuhusu msamy baby makonda lakini…,8
nani kumtetea ozil arsenal,4
zahera atoa tahadhari usajili yanga,5
mulongo mgeni rasmi miss albino,5
kamwelwe ataka utaratibu abiria daladala kukabili corona,7
samatta ulimwengu watua kuiua algeria,5
megawati kuingizwa gridi taifa,4
vita mwijaku batuli imefika mahali pabaya video,7
tumbili aua kichanga kumi mbili,5
jamhuri yaanza kutoa ushahidi dhidi manji,6
kocha azam alaumu wachezaji,4
iran waanza kampeni uchaguzi bunge vikumbo,6
psg tayari kumpeleka neymar madrid,5
membe kuweka hatma kisiasa kesi ikimalizika,6
marekani yampuuza mwenyekiti tume afrika,5
korea kaskazini yadaiwa kuendeleza mradi silaha nyuklia,7
vyanzo maji hatarini kutoweka,4
benki im yatia fora sabasaba,5
tra yawataka wafanyabishara kutunza kumbukumbu kodi,6
viongozi kcu kortini,3
kauli kwanza mo dewji kuongeza timu michuano caf,8
mechi yanga kesho yahamishwa uwanja simba ikipenya,7
serikali yafuta leseni madini kuzigawa wachimbaji wadogo,7
dili neymar kutua barcelona lakwama,5
fei toto jicho mbali amunike,5
wakulima wanufaika mbegu kisasa,4
jitihada rais zaongeza ari kulipa kodi mkoani tanga,8
sekondari zajengwa kukabili upungufu,4
niyonzima sababu tano kurudi yanga,5
tra wafanyabiashara lipeni kodi,4
sakata kesi ubakaji neyamr imefika,5
jeshi sudan lazima jaribio uasi,5
kanzi data asasi kukamilika desemba,5
maiti inayogombewa kuzikwa dar,4
kaseja asaini miaka mitatu kmc,5
kikapu majiji kuanza leo dar,5
miradi kimkakati yaongeza mapato,4
jenerali mwamunyange awatoa hofu wananchi serikali ikitekeleza miradi maji,9
christian bella video milioni,4
blanc aongeza mkataba miaka miwili psg,6
tra wafanyabiashara lipeni kodi,4
vigogo halotel waendelea kusota rumande miezi mitatu,7
baba levo ahukumiwa miezi mitano jela,6
crdb yajitanua nje eac kufungua matawi drc,7
tra yafurahia mnada mtandaoni,4
wakata tiketi beijing shindano vipaji,5
majaliwa awapa somo wawekezaji mifugo,5
tbl wazuru tsn watarajia makubwa,5
bility akata rufaa kumzuia kuwania urais fifa,7
mkutano mwingine kuleta wajumbe,4
manara yanga waje kwangu wasome university chuo kamili,8
mwanza waomba udhamini ligi,4
mufti akerwa migogoro taasisi kiislamu,5
dar majiji makubwa,3
khan aongoza uchaguzi pakistani,4
vigogo halotel waendelea kusota rumande miezi mitatu,7
ben pol ebitoke wafanya kweli,5
viongozi watakiwa kuepuka mtego kupokea zawadi,6
vipaji tunavyoviibua ligi vijana tuviendeleze,5
mtoto maneti kivyake,3
rwanda kujenga sgr,3
jpm mgeni rasmi baraza taifa biashara leo,7
walimu msingi sekondari kuajiriwa,4
teknolojia yaongeza fursa shirika posta,5
kikwete ashauri sadc kupiga vita malaria,6
mwakyembe awakoromea wabadhirifu michezoni,4
vitalis maembe sawa wasafi wanachochea ngono wanapewa ubalozi…,8
mkemia sumukuvu inaharibu ini,4
yanga yasaka rekodi kagame,4
watatu kortini bukoba uhujumu uchumi,5
tucta walia makato bodi mikopo,5
‘ni mapema kuihukumu yanga’,4
mil kuchimba visima kondoa chemba,5
bajeti tafiti costech kuongezwa,4
mikopo wanafunzi yapaa kunufaika,4
mchina kizimbani madini,3
minaj matatani ubakaji,3
kocha simba atoa visingizio,4
bow wow adai anatengwa,4
bilioni uda zaivuruga ukawa,4
chanjo yatibu asilimia saratani mwilini mwa panya,7
zidane mbioni kutupiwa virago madrid,5
tra wafanyabiashara lipeni kodi,4
kenya yaidhinisha kuundwa baraza kiswahili,5
uhuru nasa inawatafutia viongozi ajira,5
nmb yatoa misaada sh milioni,5
wakenya kuivaa everton yanga ‘out’,5
serikali yakana kupandisha gharama matibabu,5
﻿jpm tusaidie ardhi yetu misenyi,5
magufuli ataka hesabu soko feri,5
mary j blige kupewa heshima,5
future adai mke tapeli,4
uzalishaji washusha bei mbaazi,4
inatia aibu miss kudai zawadi,5
uwajibikaji mbinu amunike silaha kuvuna matokeo nelson mandela,8
africanlyon inavyojichimbia kaburi yenyewe﻿,4
pambano ngao jamii zege halilali,5
cag avibana mbavu vyama siasa,5
wawakilishi wapongeza ubunifu tsn,4
pluijm achekelea kileleni,3
mfumuko bei taifa wabaki asilimia,5
uhuru nipo bega bega ruto,5
ubora maudhui vyombo habari wazidi kushuka,6
tunayopaswa kuyaamini kuhusu shule msingi bweni,6
lampard avunja ukimya afunga ndoa christine,6
bot yawatoa hofu wawekezaji mafuta gesi,6
celine arudi muziki,3
njombe wageukia mauaji wazee ndugu kubakana,6
uongozi yanga walaani kitendo kilichofanywa mashabiki,6
vijana wachagizwa kuwania uongozi uchaguzi serikali mitaa,7
jaji nsekela aeleza changamoto sheria matamko,6
diamond tifah wangu wangu mniache,5
yanga yasogeza mbele mchezo kirafiki wiki mwananchi,7
mkwasa arejea yanga,3
utata kung’olewa meya ubungo,4
lupa ugonjwa hatari hauna tiba,5
conte morata angeweza kumuoa mwanangu,5
marekani kuibana korea kaskazini irejee meza mazungumzo,7
jaji mutungi sihusiki vibali mikutano siasa,6
wizkid kufungua duka marekani,4
mashindano simba sudan yaota mbawa,5
kisa corona nandy awafanyia jambo mashabiki,6
jaguar kuwaokoa watoto mitaani,4
wanawake msisubiri kupelekewa jambo jitokezeni,5
tbs yang’ara miaka minne rais dkt john joseph pombe magufuli,10
conte ana matumaini kutua chelsea,5
yanga bingwa,2
shilingi ‘milioni ’ kumzika akwilina,5
kikosi ngorongoro heroes chatajwa,4
uchaguzi uingereza – boris corbyn,5
cardi b offset wafanya kufuru mtoto,6
malinzi wachezaji fa wamebahatika,4
sera kudhibiti bei vyakula kulindwa,5
tra yalia miundombinu duni kigoma,5
mahakama malinzi mwesigwa kesi kujibu,5
tahariri wajumbe chagueni viongozi sahihi tff,6
nec yatangaza uchaguzi jimbo tundu lissu,6
longido wampongeza magufuli kuwapelekea maji,5
mo aanza kumwaga fedha msimbazi,5
mama diamond akimtambua vizuri mwanaye atampenda zari,7
magufuli kufungwa senegal mbaya,4
chris brown ampotezea rihanna,4
tetesi soka ulaya jumanne,4
majina yamuumiza kichwa trump,4
serikali kutoongeza wilaya mikoa mipya,5
watumiaji dawa michezoni kukiona,4
nick pili adai wanaume wanachoka haraka mashabiki wamwandama,8
mat serikali ipunguze mrundikano wagonjwa kutoa dawa mrefu,8
burundi yakwama kujiunga sadc,4
wachezaji wajiepushe migogoro usajili,4
zaa ipo tayari kimataifa,4
afrika kusini yavunja rekodi vipimo vingi corona,7
tulieni ushindi upo mwambusi,4
julio simba yanga azam hao nani,6
wazazi watakiwa kupinga udhalilishaji watoto,5
aliyedaka‘uchawi’ zahera aahidi shangwe,4
rais magufuli awabadilishia adhabu kifo wafungwa,6
‘akilimali avuliwe uanachama yanga’,4
sony music wamsaini wizkid,4
zanzibar isahau uanachama fifa,4
kashfa zatishia urais trump,4
yatoka kapa,2
zanzibar yaonya vyama siasa vinavyokiuka sheria,6
yanga mlivyosikia coastal imewashonea sare nyingine,6
mr blue agombewa selfie,4
sir kahama alitekeleza azimio arusha – mwapachu,7
ubunge afrika mashariki patashika,4
tuzo eatv… kwanini mastaa wametoswa,5
serikali yaagiza kuchunguzwa afya wachezaji,5
tra wafanyabiashara lipeni kodi,4
umeme rea kuunganishwa,3
vyama siasa vyatakiwa kufuata maadili,5
kongamano fursa soko viwanda wajasiriamali,5
nape ahimiza halmashauri kutenga maeneo michezo,6
waandishi wauawa kazini,3
majaliwa msiwatoze watanzania dola,4
magufuli afungua kiwanda maparachichi rungwe,5
wakandarasi kunyanganywa pasipoti,3
simba yatua z’bar yazindua mabalozi,5
wachezaji yanga wafungiwa,3
magufuli yupo chato kupumzika,4
wapinzani yanga klabu bingwa hoi,5
mueller hakuna ushahidi trump urusi kuvuruga uchaguzi,7
tff yajitoa kuandaa kagame,4
wanandoa mbaroni kuiba mtoto,4
julio ajitetea coastal kufungwa,4
kim kardashian kurudi shule warembo bongo wanakwama,7
sakata mabasi yaendayo mikoani latinga bungeni,6
jux tumejibizana ben pol hatuchukiani,5
samia ataka wanawake kugombea uchaguzi mkuu,6
uteuzi prof muhongo watenguliwa,4
kagera sugar kuhamia tabora mechi ligi kuu,7
benki im yatia fora sabasaba,5
wajumbe timu makinikia wanapotoka,4
tambwe maximo coutinho hawanitishi,4
kesi utapeli masunga yapigwa kalenda,5
tetesi soka ulaya jumatatu,4
madaktari watoa tahadhari kiafya ongezeko joto,6
zahera apiga bao tff,4
shonza awapa wasanii mbinu mafanikio,5
utamu fainali kilimanjaro queens vs kenya uko,7
kaseja arejea stars miaka sita,5
wakulima wanufaika mbegu kisasa,4
mkwasa msolla wafunguka kerr,4
waziri kanyasu aagiza tawa waunde ‘takukuru yao’,7
tff yalia viongozi klabu kutotoa ushirikiano,6
hoteli kuajiri arusha,3
nhif yafunguka gharama vifurushi bima afya,6
kundi lililojhihami sudan lashambulia kijiji kimoja darfur kuwauwa,8
tpdc yatoa elimu usalama gesi asilia mtwara,7
hali shwari simba,3
polisi wakamata wahamiaji,3
mti ajabu waua watano familia,5
taifa stars huzuni tupu,4
upinzani drc wasambaratika,3
mkwasa asema malaika,3
msekwa wasomi wahoji demokrasia vyama upinzani,6
rc ashauri mbinu wasomi kuupanda mlima kilimanjaro,7
pluijm ashika ‘uchawi’ washambuliaji yanga,5
jpm sitovumilia mafisadi,3
kocha mtanzania aula rwanda,4
kichere awa cag mpya,4
wasiokuwa vitambulisho taifa kusakwa,4
mabehewa kuongezwa treni dar moshi,5
vita namba simba mchezo,4
masauni aagiza atakayetangaza njaa akamatwe,5
tff yalaani vurugu simba,4
watendaji wilaya hatarini kushitakiwa,4
serengeti boys yang’ara cosafa,4
tony blair aomba marudio kura maoni uingereza,7
ccm yateua wagombea ubunge,4
simba kumkosa bocco jumamosi,4
yanga pwaaa,2
